ID,DataType,Sector,Exposure_Time,FFI_Avail,SPOC_Avail
373838214051410816,FFI,57.0,158.399928,True,True
373838214051410816,FFI,84.0,158.399927,True,True
373838214051410816,SPOC,,[120.] s,True,True
373838214051410816,SPOC,,[20.] s,True,True
373838214051410816,SPOC,,[120.] s,True,True
569821974111727744,FFI,19.0,1425.599402,True,True
569821974111727744,FFI,20.0,1425.599406,True,True
569821974111727744,FFI,26.0,1425.599348,True,True
569821974111727744,FFI,25.0,1425.599351,True,True
569821974111727744,FFI,40.0,475.199784,True,True
569821974111727744,FFI,59.0,158.399928,True,True
569821974111727744,FFI,60.0,158.399929,True,True
569821974111727744,FFI,53.0,475.199775,True,True
569821974111727744,FFI,52.0,475.199781,True,True
569821974111727744,FFI,73.0,158.399928,True,True
569821974111727744,FFI,79.0,158.399924,True,True
569821974111727744,FFI,86.0,158.399926,True,True
569821974111727744,SPOC,,[120.] s,True,True
569821974111727744,SPOC,,[120.] s,True,True
569821974111727744,SPOC,,[120.] s,True,True
569821974111727744,SPOC,,[120.] s,True,True
569821974111727744,SPOC,,[120.] s,True,True
569821974111727744,SPOC,,[20.] s,True,True
569821974111727744,SPOC,,[20.] s,True,True
569821974111727744,SPOC,,[120.] s,True,True
569821974111727744,SPOC,,[120.] s,True,True
569821974111727744,SPOC,,[120.] s,True,True
569821974111727744,SPOC,,[120.] s,True,True
598180646733241216,FFI,7.0,1425.599406,True,True
598180646733241216,FFI,46.0,475.199787,True,True
598180646733241216,FFI,45.0,475.199789,True,True
598180646733241216,FFI,34.0,475.19979,True,True
598180646733241216,FFI,44.0,475.19979,True,True
598180646733241216,FFI,61.0,158.399927,True,True
598180646733241216,FFI,72.0,158.399928,True,True
598180646733241216,FFI,88.0,158.399925,True,True
598180646733241216,FFI,1751.0,158.399926,True,True
598180646733241216,SPOC,,[120.] s,True,True
598180646733241216,SPOC,,[120.] s,True,True
598180646733241216,SPOC,,[120.] s,True,True
598180646733241216,SPOC,,[120.] s,True,True
598180646733241216,SPOC,,[120.] s,True,True
598180646733241216,SPOC,,[120.] s,True,True
598180646733241216,SPOC,,[120.] s,True,True
605079910398496640,FFI,46.0,475.199787,True,True
605079910398496640,FFI,45.0,475.199789,True,True
605079910398496640,FFI,44.0,475.19979,True,True
605079910398496640,FFI,72.0,158.399928,True,True
605079910398496640,FFI,1751.0,158.399926,True,True
605079910398496640,SPOC,,[20.] s,True,True
605079910398496640,SPOC,,[20.] s,True,True
605079910398496640,SPOC,,[20.] s,True,True
605079910398496640,SPOC,,[120.] s,True,True
605079910398496640,SPOC,,[120.] s,True,True
605079910398496640,SPOC,,[120.] s,True,True
615779464207025152,FFI,46.0,475.199787,True,True
615779464207025152,FFI,45.0,475.199789,True,True
615779464207025152,FFI,72.0,158.399928,True,True
615779464207025152,FFI,1751.0,158.399926,True,True
615779464207025152,SPOC,,[120.] s,True,True
615779464207025152,SPOC,,[120.] s,True,True
615779464207025152,SPOC,,[20.] s,True,True
615779464207025152,SPOC,,[120.] s,True,True
617982090939470464,FFI,46.0,475.199787,True,True
617982090939470464,FFI,45.0,475.199789,True,True
617982090939470464,FFI,72.0,158.399928,True,True
617982090939470464,FFI,1751.0,158.399926,True,True
617982090939470464,SPOC,,[20.] s,True,True
617982090939470464,SPOC,,[120.] s,True,True
619440661833351040,FFI,46.0,475.199787,True,True
619440661833351040,FFI,45.0,475.199789,True,True
619440661833351040,FFI,72.0,158.399928,True,True
619440661833351040,FFI,1751.0,158.399926,True,True
619440661833351040,SPOC,,[120.] s,True,True
619440661833351040,SPOC,,[120.] s,True,True
619440661833351040,SPOC,,[20.] s,True,True
619440661833351040,SPOC,,[120.] s,True,True
622339455521105280,FFI,46.0,475.199787,True,True
